ID,rodada,data,hora,dia,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,estado_vencedor
7379,12,2021-07-17,21:00,Sabado,Fluminense,Gremio,4-2-3-1,4-4-2,L. Scolari,L. Scolari,Gremio,maracana,0,1,RJ,RS,RS
7380,12,2021-07-18,11:03,Domingo,Chapecoense,Cuiaba,3-4-3,4-2-3-1,J. de Amorim Campos,J. de Amorim Campos,Cuiaba,arena conda,2,3,SC,MT,MT
7381,12,2021-07-18,16:00,Domingo,Atletico-GO,Palmeiras,4-2-3-1,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Palmeiras,estadio do governo do estado de goias serra dourada,0,3,GO,SP,SP
7382,12,2021-07-18,18:13,Domingo,Bahia,Flamengo,4-2-3-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Flamengo,itaipava arena fonte nova,0,5,BA,RJ,RJ
7383,12,2021-07-18,20:31,Domingo,Internacional,Juventude,4-3-3,4-2-3-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Internacional,estadio jose pinheiro borda,1,0,RS,RS,RS
7384,12,2021-07-18,20:29,Domingo,Bragantino,Santos,4-2-3-1,4-3-3,F. Diniz Silva,F. Diniz Silva,-,nabizao,2,2,SP,SP,-
7385,12,2021-07-19,20:00,Segunda-feira,America-MG,Sport,3-4-1-2,4-2-3-1,U. Louzer Filho,U. Louzer Filho,Sport,estadio raimundo sampaio,0,1,MG,PE,PE
7386,13,2021-07-24,17:00,Sabado,Gremio,America-MG,3-5-2,3-4-1-2,V. Carmo Mancini,V. Carmo Mancini,-,arena do gremio,1,1,RS,MG,-
7387,13,2021-07-24,19:00,Sabado,Palmeiras,Fluminense,4-2-3-1,4-2-3-1,R. Machado Marques,R. Machado Marques,Palmeiras,allianz parque,1,0,SP,RJ,SP
7388,13,2021-07-25,11:00,Domingo,Atletico-MG,Bahia,4-2-3-1,4-3-3,L. Cavalcanti,L. Cavalcanti,Atletico-MG,mineirao,3,0,MG,BA,MG
7389,13,2021-07-25,16:01,Domingo,Fortaleza,Bragantino,3-4-1-2,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Fortaleza,arena castelao,1,0,CE,SP,CE
7390,13,2021-07-25,16:00,Domingo,Flamengo,Sao Paulo,4-2-3-1,3-5-1-1,H. Crespo,H. Crespo,Flamengo,maracana,5,1,RJ,SP,RJ
7391,13,2021-07-25,18:15,Domingo,Santos,Atletico-GO,4-2-3-1,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,Atletico-GO,estadio urbano caldeira,0,1,SP,GO,GO
7392,13,2021-07-25,18:15,Domingo,Athletico-PR,Internacional,4-2-3-1,4-1-4-1,D. Aguirre Camblor,D. Aguirre Camblor,Athletico-PR,estadio joaquim americo guimaraes,2,1,PR,RS,PR
7393,13,2021-07-25,20:30,Domingo,Sport,Ceara,4-2-3-1,4-2-3-1,A. Ferreira,A. Ferreira,-,adelmar da costa carvalho,0,0,PE,CE,-
7394,13,2021-07-26,18:00,Segunda-feira,Juventude,Chapecoense,4-3-3,4-3-3,J. Ribeiro Ventura,J. Ribeiro Ventura,Juventude,alfredo jaconi,1,0,RS,SC,RS
7395,13,2021-07-26,19:59,Segunda-feira,Cuiaba,Corinthians,4-4-2,4-3-3,S. Campos Junior,S. Campos Junior,Corinthians,arena pantanal,1,2,MT,SP,SP
7396,14,2021-07-31,19:00,Sabado,Sao Paulo,Palmeiras,4-4-2,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,-,morumbi,0,0,SP,SP,-
7397,14,2021-07-31,20:00,Sabado,Internacional,Cuiaba,4-4-2,4-4-1-1,J. de Amorim Campos,J. de Amorim Campos,-,estadio jose pinheiro borda,0,0,RS,MT,-
7398,14,2021-07-31,21:00,Sabado,Bragantino,Gremio,4-2-3-1,4-2-3-1,L. Scolari,L. Scolari,Bragantino,nabizao,1,0,SP,RS,SP
