ID,rodada,data,hora,dia,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado,estado_vencedor
7488,23,2021-10-02,19:00,Sabado,Bragantino,Corinthians,4-2-3-1,4-1-4-1,S. Campos Junior,S. Campos Junior,-,nabizao,2,2,SP,SP,-
7489,23,2021-10-02,21:00,Sabado,Atletico-MG,Internacional,4-4-2,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,Atletico-MG,mineirao,1,0,MG,RS,MG
7490,23,2021-10-03,16:00,Domingo,Flamengo,Athletico-PR,4-4-2,3-4-2-1,B. Lazaroni,B. Lazaroni,Flamengo,maracana,3,0,RJ,PR,RJ
7491,23,2021-10-03,16:00,Domingo,Chapecoense,Sao Paulo,4-1-4-1,3-4-1-2,H. Crespo,H. Crespo,-,arena conda,1,1,SC,SP,-
7492,23,2021-10-03,18:15,Domingo,Palmeiras,Juventude,4-1-4-1,4-1-4-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,-,allianz parque,1,1,SP,RS,-
7493,23,2021-10-03,20:30,Domingo,Gremio,Sport,4-2-3-1,4-1-4-1,G. Florentín,G. Florentín,Sport,arena do gremio,1,2,RS,PE,PE
7494,23,2021-10-27,18:59,Quarta-feira,Santos,Fluminense,3-4-3,4-2-3-1,M. de Oliveira,M. de Oliveira,Santos,estadio urbano caldeira,2,0,SP,RJ,SP
7495,23,2021-10-27,19:00,Quarta-feira,Bahia,Ceara,4-1-4-1,4-4-2,T. Retzalff Nunes,T. Retzalff Nunes,-,itaipava arena fonte nova,1,1,BA,CE,-
7496,24,2021-10-05,21:30,Terça-feira,Corinthians,Bahia,4-1-4-1,4-4-2,D. Dabove,D. Dabove,Corinthians,neo quimica arena,3,1,SP,BA,SP
7497,24,2021-10-06,18:59,Quarta-feira,Chapecoense,Atletico-MG,4-4-2,4-2-3-1,A. Stival,A. Stival,-,arena conda,2,2,SC,MG,-
7498,24,2021-10-06,19:00,Quarta-feira,Atletico-GO,Athletico-PR,4-2-3-1,3-4-2-1,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,Athletico-PR,estadio antonio accioly,0,2,GO,PR,PR
7499,24,2021-10-06,19:00,Quarta-feira,Sport,Juventude,4-2-3-1,4-1-4-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Sport,arena de pernambuco,3,1,PE,RS,PE
7500,24,2021-10-06,19:00,Quarta-feira,Ceara,Internacional,4-2-3-1,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,-,arena castelao,0,0,CE,RS,-
7501,24,2021-10-06,20:30,Quarta-feira,Bragantino,Flamengo,4-2-3-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,-,nabizao,1,1,SP,RJ,-
7502,24,2021-10-06,21:30,Quarta-feira,Fluminense,Fortaleza,4-3-3,3-4-2-1,J. Vojvoda,J. Vojvoda,Fortaleza,maracana,0,2,RJ,CE,CE
7503,24,2021-10-06,21:30,Quarta-feira,America-MG,Palmeiras,4-2-3-1,3-4-2-1,A. Moreira Ferreira,A. Moreira Ferreira,America-MG,estadio raimundo sampaio,2,1,MG,SP,MG
7504,24,2021-10-06,21:29,Quarta-feira,Gremio,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,-,arena do gremio,2,2,RS,MT,-
7505,24,2021-10-07,18:30,Quinta-feira,Sao Paulo,Santos,4-2-3-1,3-5-2,F. Carille,F. Carille,-,morumbi,1,1,SP,SP,-
7506,25,2021-10-09,16:30,Sabado,Fluminense,Atletico-GO,4-3-3,4-4-2,E. do Nascimento Souza,E. do Nascimento Souza,-,maracana,0,0,RJ,GO,-
7507,25,2021-10-09,16:30,Sabado,Atletico-MG,Ceara,4-2-3-1,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,Atletico-MG,mineirao,3,1,MG,CE,MG
7508,25,2021-10-09,16:30,Sabado,Sport,Corinthians,4-1-4-1,4-1-4-1,S. Campos Junior,S. Campos Junior,Sport,arena de pernambuco,1,0,PE,SP,PE
7509,25,2021-10-09,19:00,Sabado,Fortaleza,Flamengo,5-4-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Flamengo,arena castelao,0,3,CE,RJ,RJ
7510,25,2021-10-09,19:00,Sabado,Athletico-PR,Bahia,3-4-2-1,4-2-3-1,A. Ferreira,A. Ferreira,Bahia,estadio joaquim americo guimaraes,0,2,PR,BA,BA
7511,25,2021-10-09,20:59,Sabado,Palmeiras,Bragantino,3-5-2,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Bragantino,allianz parque,2,4,SP,SP,SP
7512,25,2021-10-09,21:00,Sabado,Juventude,America-MG,4-3-3,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,-,alfredo jaconi,1,1,RS,MG,-
7513,25,2021-10-10,10:59,Domingo,Internacional,Chapecoense,4-2-3-1,4-4-2,L. de Oliveira Preto,L. de Oliveira Preto,Internacional,estadio jose pinheiro borda,5,2,RS,SC,RS
7514,25,2021-10-10,16:00,Domingo,Santos,Gremio,3-4-1-2,3-4-2-1,L. Scolari,L. Scolari,Santos,estadio urbano caldeira,1,0,SP,RS,SP
7515,25,2021-10-11,20:00,Segunda-feira,Cuiaba,Sao Paulo,4-4-2,4-2-3-1,H. Crespo,H. Crespo,-,arena pantanal,0,0,MT,SP,-
7516,26,2021-10-12,19:00,Terça-feira,Bragantino,Atletico-GO,4-2-3-1,4-2-3-1,J. P. Sanches,J. P. Sanches,Bragantino,nabizao,1,0,SP,GO,SP
7517,26,2021-10-12,21:30,Terça-feira,Bahia,Palmeiras,4-2-3-1,4-4-2,A. Moreira Ferreira,A. Moreira Ferreira,-,itaipava arena fonte nova,0,0,BA,SP,-
7518,26,2021-10-13,18:59,Quarta-feira,Atletico-MG,Santos,4-2-3-1,3-4-1-2,F. Carille,F. Carille,Atletico-MG,mineirao,3,1,MG,SP,MG
7519,26,2021-10-13,18:59,Quarta-feira,Chapecoense,Athletico-PR,5-3-2,3-4-3,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,-,arena conda,1,1,SC,PR,-
7520,26,2021-10-13,19:01,Quarta-feira,Flamengo,Juventude,4-2-3-1,3-4-1-2,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Flamengo,maracana,3,1,RJ,RS,RJ
7521,26,2021-10-13,20:29,Quarta-feira,Fortaleza,Gremio,3-4-1-2,3-4-1-2,T. Gomes Pacheco,T. Gomes Pacheco,Fortaleza,arena castelao,1,0,CE,RS,CE
7522,26,2021-10-13,21:00,Quarta-feira,Corinthians,Fluminense,4-1-4-1,4-3-3,M. de Oliveira,M. de Oliveira,Corinthians,neo quimica arena,1,0,SP,RJ,SP
7523,26,2021-10-13,21:30,Quarta-feira,Internacional,America-MG,4-2-3-1,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,Internacional,estadio jose pinheiro borda,3,1,RS,MG,RS
7524,26,2021-10-14,19:01,Quinta-feira,Sao Paulo,Ceara,4-1-3-2,4-2-3-1,E. L. Fornari,E. L. Fornari,-,morumbi,1,1,SP,CE,-
7525,26,2021-10-14,18:59,Quinta-feira,Cuiaba,Sport,4-4-2,4-2-3-1,G. Florentín,G. Florentín,Cuiaba,arena pantanal,1,0,MT,PE,MT
7526,27,2021-10-16,18:59,Sabado,Chapecoense,Fortaleza,5-3-2,3-4-1-2,J. Vojvoda,J. Vojvoda,Fortaleza,arena conda,1,2,SC,CE,CE
7527,27,2021-10-16,21:00,Sabado,America-MG,Bahia,4-2-3-1,4-1-4-1,A. Ferreira,A. Ferreira,-,estadio raimundo sampaio,0,0,MG,BA,-
7528,27,2021-10-17,16:00,Domingo,Athletico-PR,Fluminense,3-4-2-1,4-2-3-1,M. de Oliveira,M. de Oliveira,Fluminense,estadio joaquim americo guimaraes,0,1,PR,RJ,RJ
7529,27,2021-10-17,16:00,Domingo,Palmeiras,Internacional,4-4-2,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,Palmeiras,allianz parque,1,0,SP,RS,SP
7530,27,2021-10-17,18:15,Domingo,Ceara,Bragantino,4-2-3-1,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,-,arena castelao,2,2,CE,SP,-
7531,27,2021-10-17,18:15,Domingo,Gremio,Juventude,4-2-3-1,4-3-3,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Gremio,arena do gremio,3,2,RS,RS,RS
7532,27,2021-10-17,18:16,Domingo,Atletico-GO,Atletico-MG,4-2-3-1,4-2-3-1,A. Stival,A. Stival,Atletico-GO,estadio antonio accioly,2,1,GO,MG,GO
7533,27,2021-10-17,20:30,Domingo,Sport,Santos,4-2-3-1,3-4-1-2,F. Carille,F. Carille,-,adelmar da costa carvalho,0,0,PE,SP,-
7534,27,2021-10-17,20:30,Domingo,Flamengo,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,-,maracana,0,0,RJ,MT,-
7535,27,2021-10-18,20:00,Segunda-feira,Sao Paulo,Corinthians,4-1-3-2,4-1-4-1,S. Campos Junior,S. Campos Junior,Sao Paulo,morumbi,1,0,SP,SP,SP
7536,28,2021-10-23,16:59,Sabado,Santos,America-MG,4-2-3-1,4-2-3-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,America-MG,estadio urbano caldeira,0,2,SP,MG,MG
7537,28,2021-10-23,17:00,Sabado,Juventude,Ceara,4-3-3,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,-,alfredo jaconi,0,0,RS,CE,-
7538,28,2021-10-23,19:00,Sabado,Fluminense,Flamengo,4-2-3-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Fluminense,maracana,3,1,RJ,RJ,RJ
7539,28,2021-10-23,19:16,Sabado,Fortaleza,Athletico-PR,3-4-1-2,4-2-3-1,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,Fortaleza,arena castelao,3,0,CE,PR,CE
7540,28,2021-10-24,16:00,Domingo,Internacional,Corinthians,4-2-3-1,4-3-3,S. Campos Junior,S. Campos Junior,-,estadio jose pinheiro borda,2,2,RS,SP,-
7541,28,2021-10-24,16:00,Domingo,Atletico-MG,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,Atletico-MG,mineirao,2,1,MG,MT,MG
7542,28,2021-10-24,18:16,Domingo,Bragantino,Sao Paulo,4-2-3-1,4-1-2-1-2,R. Ceni,R. Ceni,Bragantino,nabizao,1,0,SP,SP,SP
7543,28,2021-10-24,20:29,Domingo,Bahia,Chapecoense,4-4-2,5-3-2,L. de Oliveira Preto,L. de Oliveira Preto,Bahia,itaipava arena fonte nova,3,0,BA,SC,BA
7544,28,2021-10-25,19:59,Segunda-feira,Atletico-GO,Gremio,4-2-3-1,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,Atletico-GO,estadio antonio accioly,2,0,GO,RS,GO
7545,28,2021-10-25,21:30,Segunda-feira,Palmeiras,Sport,4-2-3-1,4-2-3-1,G. Florentín,G. Florentín,Palmeiras,allianz parque,2,1,SP,PE,SP
7556,29,2021-10-30,17:00,Sabado,Athletico-PR,Santos,3-4-3,3-4-3,F. Carille,F. Carille,Santos,estadio joaquim americo guimaraes,0,1,PR,SP,SP
7557,29,2021-10-30,19:01,Sabado,Flamengo,Atletico-MG,4-2-3-1,4-2-3-1,A. Stival,A. Stival,Flamengo,maracana,1,0,RJ,MG,RJ
7558,29,2021-10-30,19:15,Sabado,Juventude,Bahia,4-2-3-1,4-3-3,A. Ferreira,A. Ferreira,-,alfredo jaconi,0,0,RS,BA,-
7559,29,2021-10-30,22:01,Sabado,America-MG,Fortaleza,4-1-3-2,3-4-1-2,J. Vojvoda,J. Vojvoda,America-MG,estadio raimundo sampaio,2,1,MG,CE,MG
7560,29,2021-10-31,16:01,Domingo,Gremio,Palmeiras,4-2-3-1,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Palmeiras,arena do gremio,1,3,RS,SP,SP
7561,29,2021-10-31,16:02,Domingo,Ceara,Fluminense,4-2-3-1,4-2-3-1,M. de Oliveira,M. de Oliveira,Ceara,arena castelao,1,0,CE,RJ,CE
7562,29,2021-10-31,18:15,Domingo,Sao Paulo,Internacional,5-3-2,4-3-3,D. Aguirre Camblor,D. Aguirre Camblor,Sao Paulo,morumbi,1,0,SP,RS,SP
7563,29,2021-10-31,20:29,Domingo,Sport,Atletico-GO,4-1-4-1,4-2-3-1,E. de Souza Barroca,E. de Souza Barroca,Sport,arena de pernambuco,2,0,PE,GO,PE
7564,29,2021-11-01,20:00,Segunda-feira,Cuiaba,Bragantino,4-1-2-1-2,4-4-2,M. Nogueira Barbieri,M. Nogueira Barbieri,Cuiaba,arena pantanal,1,0,MT,SP,MT
7565,29,2021-11-01,21:29,Segunda-feira,Corinthians,Chapecoense,4-3-3,4-5-1,F. Paiva Endres,F. Paiva Endres,Corinthians,neo quimica arena,1,0,SP,SC,SP
7576,30,2021-11-06,17:00,Sabado,Corinthians,Fortaleza,4-2-3-1,3-4-1-2,J. Vojvoda,J. Vojvoda,Corinthians,neo quimica arena,1,0,SP,CE,SP
7577,30,2021-11-06,19:00,Sabado,Internacional,Gremio,4-2-3-1,4-3-3,V. Carmo Mancini,V. Carmo Mancini,Internacional,estadio jose pinheiro borda,1,0,RS,RS,RS
7578,30,2021-11-06,21:00,Sabado,Fluminense,Sport,4-2-2-2,4-1-4-1,C. de Lucena,C. de Lucena,Fluminense,maracana,1,0,RJ,PE,RJ
7579,30,2021-11-07,16:00,Domingo,Bragantino,Athletico-PR,4-2-3-1,3-4-2-1,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,Athletico-PR,nabizao,0,2,SP,PR,PR
7580,30,2021-11-07,16:00,Domingo,Atletico-MG,America-MG,4-2-3-1,4-3-3,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Atletico-MG,mineirao,1,0,MG,MG,MG
7581,30,2021-11-07,13:58,Domingo,Santos,Palmeiras,5-4-1,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Palmeiras,estadio urbano caldeira,0,2,SP,SP,SP
7582,30,2021-11-07,18:15,Domingo,Bahia,Sao Paulo,4-1-4-1,3-5-2,R. Ceni,R. Ceni,Bahia,itaipava arena fonte nova,1,0,BA,SP,BA
7583,30,2021-11-07,20:31,Domingo,Ceara,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,Ceara,arena castelao,1,0,CE,MT,CE
7584,30,2021-11-08,11:06,Segunda-feira,Chapecoense,Flamengo,4-2-3-1,4-4-2,Renato Gaúcho,Renato Gaúcho,-,arena conda,2,2,SC,RJ,-
7585,30,2021-11-11,19:01,Quinta-feira,Atletico-GO,Juventude,4-2-3-1,4-4-2,J. Ribeiro Ventura,J. Ribeiro Ventura,-,estadio antonio accioly,1,1,GO,RS,-
7566,31,2021-11-04,21:00,Quinta-feira,Cuiaba,Chapecoense,4-3-3,4-5-1,F. Paiva Endres,F. Paiva Endres,-,arena pantanal,0,0,MT,SC,-
7567,31,2021-11-09,21:33,Terça-feira,Gremio,Fluminense,4-2-3-1,4-4-2,M. de Oliveira,M. de Oliveira,Gremio,arena do gremio,1,0,RS,RJ,RS
7568,31,2021-11-10,18:31,Quarta-feira,Athletico-PR,Ceara,3-4-3,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,Athletico-PR,estadio joaquim americo guimaraes,2,1,PR,CE,PR
7569,31,2021-11-10,19:01,Quarta-feira,Atletico-MG,Corinthians,4-2-3-1,4-1-4-1,S. Campos Junior,S. Campos Junior,Atletico-MG,mineirao,3,0,MG,SP,MG
7570,31,2021-11-10,18:59,Quarta-feira,Santos,Bragantino,3-4-1-2,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Santos,estadio urbano caldeira,2,0,SP,SP,SP
7571,31,2021-11-10,20:29,Quarta-feira,Palmeiras,Atletico-GO,4-2-3-1,4-1-4-1,E. de Souza Barroca,E. de Souza Barroca,Palmeiras,allianz parque,4,0,SP,GO,SP
7572,31,2021-11-10,21:31,Quarta-feira,Fortaleza,Sao Paulo,3-4-1-2,3-1-4-2,R. Ceni,R. Ceni,-,arena castelao,1,1,CE,SP,-
7573,31,2021-11-10,21:31,Quarta-feira,Sport,America-MG,4-1-4-1,4-1-4-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,America-MG,arena de pernambuco,2,3,PE,MG,MG
7574,31,2021-11-10,21:30,Quarta-feira,Juventude,Internacional,4-4-2,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,Juventude,alfredo jaconi,2,1,RS,RS,RS
7575,31,2021-11-11,19:01,Quinta-feira,Flamengo,Bahia,4-2-3-1,4-2-3-1,A. Ferreira,A. Ferreira,Flamengo,maracana,3,0,RJ,BA,RJ
7586,32,2021-11-13,17:10,Sabado,Atletico-GO,Santos,4-2-3-1,3-4-1-2,F. Carille,F. Carille,-,estadio antonio accioly,0,0,GO,SP,-
7587,32,2021-11-13,09:50,Sabado,America-MG,Gremio,4-1-4-1,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,America-MG,estadio raimundo sampaio,3,1,MG,RS,MG
7588,32,2021-11-13,18:58,Sabado,Bragantino,Fortaleza,4-2-3-1,3-4-1-2,J. Vojvoda,J. Vojvoda,Bragantino,nabizao,3,0,SP,CE,SP
7589,32,2021-11-13,19:00,Sabado,Internacional,Athletico-PR,4-2-3-1,3-4-3,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,Internacional,estadio jose pinheiro borda,2,1,RS,PR,RS
7590,32,2021-11-13,21:00,Sabado,Corinthians,Cuiaba,4-5-1,4-2-3-1,J. de Amorim Campos,J. de Amorim Campos,Corinthians,neo quimica arena,3,2,SP,MT,SP
7591,32,2021-11-14,16:01,Domingo,Sao Paulo,Flamengo,4-3-1-2,4-4-2,Renato Gaúcho,Renato Gaúcho,Flamengo,morumbi,0,4,SP,RJ,RJ
7592,32,2021-11-14,18:15,Domingo,Fluminense,Palmeiras,4-2-3-1,4-2-3-1,A. Moreira Ferreira,A. Moreira Ferreira,Fluminense,maracana,2,1,RJ,SP,RJ
7593,32,2021-11-14,19:01,Domingo,Ceara,Sport,4-2-3-1,4-1-4-1,G. Florentín,G. Florentín,Ceara,arena castelao,2,1,CE,PE,CE
7594,32,2021-11-14,19:03,Domingo,Chapecoense,Juventude,4-3-3,4-2-3-1,J. Ribeiro Ventura,J. Ribeiro Ventura,Juventude,arena conda,0,2,SC,RS,RS
7595,32,2021-12-12,18:00,Domingo,Bahia,Atletico-MG,4-2-3-1,4-2-3-1,A. Stival,A. Stival,Atletico-MG,itaipava arena fonte nova,2,3,BA,MG,MG
7596,33,2021-11-16,16:00,Terça-feira,Athletico-PR,Atletico-MG,3-5-2,4-2-2-2,A. Stival,A. Stival,Atletico-MG,estadio joaquim americo guimaraes,0,1,PR,MG,MG
7597,33,2021-11-16,18:00,Terça-feira,Gremio,Bragantino,4-2-3-1,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Gremio,arena do gremio,3,0,RS,SP,RS
7598,33,2021-11-17,18:59,Quarta-feira,America-MG,Atletico-GO,4-1-4-1,4-2-3-1,M. Ribeiro Cabo,M. Ribeiro Cabo,-,estadio raimundo sampaio,0,0,MG,GO,-
7599,33,2021-11-17,18:59,Quarta-feira,Santos,Chapecoense,3-4-1-2,4-5-1,F. Paiva Endres,F. Paiva Endres,Santos,estadio urbano caldeira,2,0,SP,SC,SP
7600,33,2021-11-17,18:59,Quarta-feira,Cuiaba,Internacional,4-3-3,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,Cuiaba,arena pantanal,1,0,MT,RS,MT
7601,33,2021-11-17,20:00,Quarta-feira,Fortaleza,Ceara,3-4-1-2,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,Ceara,arena castelao,0,4,CE,CE,CE
7602,33,2021-11-17,20:29,Quarta-feira,Palmeiras,Sao Paulo,4-1-4-1,4-4-2,R. Ceni,R. Ceni,Sao Paulo,allianz parque,0,2,SP,SP,SP
7603,33,2021-11-17,20:31,Quarta-feira,Juventude,Fluminense,4-4-2,4-3-3,M. de Oliveira,M. de Oliveira,Juventude,alfredo jaconi,1,0,RS,RJ,RS
7604,33,2021-11-17,21:30,Quarta-feira,Flamengo,Corinthians,4-3-3,4-3-3,S. Campos Junior,S. Campos Junior,Flamengo,maracana,1,0,RJ,SP,RJ
7605,33,2021-11-18,20:59,Quinta-feira,Sport,Bahia,4-3-3,4-2-3-1,A. Ferreira,A. Ferreira,Sport,arena de pernambuco,1,0,PE,BA,PE
7546,34,2021-10-28,19:00,Quinta-feira,Bragantino,Sport,4-4-2,4-2-3-1,G. Florentín,G. Florentín,Bragantino,nabizao,3,0,SP,PE,SP
7547,34,2021-11-11,19:00,Quinta-feira,Atletico-MG,Juventude,4-2-3-1,5-4-1,J. Ribeiro Ventura,J. Ribeiro Ventura,Atletico-MG,mineirao,2,0,MG,RS,MG
7548,34,2021-11-11,19:02,Quinta-feira,Fortaleza,Palmeiras,3-4-1-2,4-1-4-1,A. Moreira Ferreira,A. Moreira Ferreira,Fortaleza,arena castelao,1,0,CE,SP,CE
7549,34,2021-11-11,19:00,Quinta-feira,Chapecoense,Gremio,4-5-1,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,Gremio,arena conda,1,3,SC,RS,RS
7550,34,2021-11-11,21:00,Quinta-feira,Atletico-GO,Ceara,4-2-3-1,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,-,estadio antonio accioly,1,1,GO,CE,-
7551,34,2021-11-11,21:30,Quinta-feira,Internacional,Flamengo,4-2-3-1,4-2-3-1,Renato Gaúcho,Renato Gaúcho,Flamengo,estadio jose pinheiro borda,1,2,RS,RJ,RJ
7552,34,2021-11-11,16:01,Quinta-feira,Corinthians,Santos,4-3-3,3-4-2-1,F. Carille,F. Carille,Corinthians,neo quimica arena,2,0,SP,SP,SP
7553,34,2021-11-11,17:01,Quinta-feira,Fluminense,America-MG,4-3-3,4-1-4-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,Fluminense,maracana,2,0,RJ,MG,RJ
7554,34,2021-11-11,19:00,Quinta-feira,Bahia,Cuiaba,4-2-3-1,4-4-2,J. de Amorim Campos,J. de Amorim Campos,-,itaipava arena fonte nova,0,0,BA,MT,-
7555,34,2021-11-11,21:31,Quinta-feira,Sao Paulo,Athletico-PR,4-4-2,3-4-3,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,-,morumbi,0,0,SP,PR,-
7606,35,2021-11-11,21:29,Quinta-feira,Palmeiras,Atletico-MG,3-4-3,4-2-2-2,A. Stival,A. Stival,-,allianz parque,2,2,SP,MG,-
7607,35,2021-11-11,21:30,Quinta-feira,Fluminense,Internacional,4-3-3,4-2-3-1,D. Aguirre Camblor,D. Aguirre Camblor,Fluminense,maracana,1,0,RJ,RS,RJ
7608,35,2021-11-11,19:00,Quinta-feira,Santos,Fortaleza,3-4-3,3-4-1-2,J. Vojvoda,J. Vojvoda,Santos,estadio urbano caldeira,2,0,SP,CE,SP
7609,35,2021-11-11,20:03,Quinta-feira,Ceara,Corinthians,4-2-3-1,4-2-3-1,S. Campos Junior,S. Campos Junior,Ceara,arena castelao,2,1,CE,SP,CE
7610,35,2021-11-11,19:00,Quinta-feira,Atletico-GO,Bahia,4-2-3-1,4-2-3-1,A. Ferreira,A. Ferreira,Atletico-GO,estadio antonio accioly,2,1,GO,BA,GO
7611,35,2021-11-11,19:03,Quinta-feira,Juventude,Bragantino,4-4-2,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Juventude,alfredo jaconi,1,0,RS,SP,RS
7612,35,2021-11-11,21:01,Quinta-feira,America-MG,Chapecoense,4-2-3-1,4-3-3,F. Paiva Endres,F. Paiva Endres,America-MG,estadio raimundo sampaio,3,0,MG,SC,MG
7613,35,2021-12-12,20:00,Domingo,Gremio,Sao Paulo,4-2-3-1,4-5-1,R. Ceni,R. Ceni,Gremio,arena do gremio,3,0,RS,SP,RS
7614,35,2021-12-12,19:01,Domingo,Athletico-PR,Cuiaba,3-4-2-1,4-1-4-1,J. de Amorim Campos,J. de Amorim Campos,Athletico-PR,estadio joaquim americo guimaraes,1,0,PR,MT,PR
7615,35,2021-12-12,20:00,Domingo,Sport,Flamengo,4-2-3-1,4-2-2-2,M. Souza,M. Souza,-,arena de pernambuco,1,1,PE,RJ,-
7616,36,2021-11-11,19:00,Quinta-feira,Bahia,Gremio,4-2-3-1,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,Bahia,itaipava arena fonte nova,3,1,BA,RS,BA
7617,36,2021-11-11,19:29,Quinta-feira,Bragantino,America-MG,4-2-3-1,4-1-4-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,-,nabizao,1,1,SP,MG,-
7618,36,2021-11-11,21:30,Quinta-feira,Sao Paulo,Sport,4-4-2,4-3-3,G. Florentín,G. Florentín,Sao Paulo,morumbi,2,0,SP,PE,SP
7619,36,2021-11-11,16:01,Quinta-feira,Corinthians,Athletico-PR,4-3-3,3-4-3,A. Valentim do Carmo Neto,A. Valentim do Carmo Neto,Corinthians,neo quimica arena,1,0,SP,PR,SP
7620,36,2021-11-11,16:01,Quinta-feira,Atletico-MG,Fluminense,4-2-2-2,4-3-3,M. de Oliveira,M. de Oliveira,Atletico-MG,mineirao,2,1,MG,RJ,MG
7621,36,2021-11-11,19:00,Quinta-feira,Internacional,Santos,4-2-3-1,3-4-3,F. Carille,F. Carille,-,estadio jose pinheiro borda,1,1,RS,SP,-
7622,36,2021-11-11,20:00,Quinta-feira,Flamengo,Ceara,4-2-3-1,4-2-3-1,T. Retzalff Nunes,T. Retzalff Nunes,Flamengo,maracana,2,1,RJ,CE,RJ
7623,36,2021-11-11,22:00,Quinta-feira,Cuiaba,Palmeiras,4-4-2,3-4-3,J. M. Barreto Martins,J. M. Barreto Martins,Palmeiras,arena pantanal,1,3,MT,SP,SP
7624,36,2021-12-12,20:00,Domingo,Chapecoense,Atletico-GO,4-3-3,4-2-3-1,M. Ribeiro Cabo,M. Ribeiro Cabo,Atletico-GO,arena conda,0,1,SC,GO,GO
7625,36,2021-12-12,21:03,Domingo,Fortaleza,Juventude,3-5-2,3-4-3,E. Rodrigues de Ávila,E. Rodrigues de Ávila,Fortaleza,arena castelao,1,0,CE,RS,CE
7626,37,2021-12-12,16:00,Domingo,Bahia,Fluminense,4-2-3-1,4-3-3,M. de Oliveira,M. de Oliveira,Bahia,itaipava arena fonte nova,2,0,BA,RJ,BA
7627,37,2021-12-12,16:01,Domingo,Corinthians,Gremio,4-1-4-1,4-2-3-1,V. Carmo Mancini,V. Carmo Mancini,-,neo quimica arena,1,1,SP,RS,-
7628,37,2021-12-12,16:00,Domingo,Atletico-MG,Bragantino,4-2-3-1,4-2-3-1,M. Nogueira Barbieri,M. Nogueira Barbieri,Atletico-MG,mineirao,4,3,MG,SP,MG
7629,37,2021-12-12,19:02,Domingo,Ceara,America-MG,4-2-3-1,4-2-3-1,M. dos Santos Gonçalves,M. dos Santos Gonçalves,-,arena castelao,0,0,CE,MG,-
7630,37,2021-12-12,19:02,Domingo,Sao Paulo,Juventude,4-3-3,4-4-2,J. Ribeiro Ventura,J. Ribeiro Ventura,Sao Paulo,morumbi,3,1,SP,RS,SP
7631,37,2021-12-12,19:01,Domingo,Athletico-PR,Palmeiras,3-4-2-1,3-4-3,P. V. Rodrigues Gomes,P. V. Rodrigues Gomes,-,estadio joaquim americo guimaraes,0,0,PR,SP,-
